 1.5430E+20  1.2431E-06  1.0000E+00  6.1621E+04  1.0870E-03  1.9563E-09  3.1773E-04  9.9968E-01
 4.6290E+20  1.1063E-05  9.9999E-01  4.7158E+04  1.0870E-03  1.0077E-07  2.7870E-03  9.9721E-01
 7.7150E+20  3.9935E-05  9.9996E-01  3.7271E+04  1.0870E-03  9.9727E-07  9.1598E-03  9.9084E-01
 1.0801E+21  9.8146E-05  9.9990E-01  3.1380E+04  1.0870E-03  3.1737E-06  2.0300E-02  9.7970E-01
 1.3887E+21  1.8869E-04  9.9981E-01  2.7961E+04  1.0870E-03  1.0654E-05  3.6124E-02  9.6387E-01
 1.6973E+21  3.2344E-04  9.9968E-01  2.5344E+04  1.0870E-03  2.8483E-05  5.7125E-02  9.4285E-01
 2.0059E+21  4.9706E-04  9.9950E-01  2.3653E+04  1.0870E-03  6.2573E-05  8.1893E-02  9.1804E-01
 2.3145E+21  7.2295E-04  9.9928E-01  2.2274E+04  1.0870E-03  1.2302E-04  1.1078E-01  8.8910E-01
 2.6231E+21  1.0005E-03  9.9900E-01  2.1113E+04  1.0870E-03  2.2146E-04  1.4339E-01  8.5639E-01
 2.9317E+21  1.3419E-03  9.9866E-01  2.0101E+04  1.0870E-03  3.6832E-04  1.7846E-01  8.2117E-01
 3.2403E+21  1.7318E-03  9.9827E-01  1.9363E+04  1.0870E-03  5.7086E-04  2.1464E-01  7.8479E-01
 3.5489E+21  2.1889E-03  9.9781E-01  1.8722E+04  1.0870E-03  8.5046E-04  2.5299E-01  7.4616E-01
 3.8575E+21  2.7113E-03  9.9729E-01  1.8147E+04  1.0870E-03  1.2141E-03  2.9136E-01  7.0742E-01
 4.1661E+21  3.3020E-03  9.9670E-01  1.7622E+04  1.0870E-03  1.6734E-03  3.2977E-01  6.6856E-01
 4.4747E+21  3.9717E-03  9.9603E-01  1.7140E+04  1.0870E-03  2.2459E-03  3.6775E-01  6.3000E-01
 4.7833E+21  4.7368E-03  9.9526E-01  1.6688E+04  1.0870E-03  2.9536E-03  4.0638E-01  5.9067E-01
 5.0919E+21  5.5812E-03  9.9442E-01  1.6276E+04  1.0870E-03  3.7886E-03  4.4277E-01  5.5345E-01
 5.4005E+21  6.5260E-03  9.9347E-01  1.5885E+04  1.0870E-03  4.7833E-03  4.7889E-01  5.1632E-01
 5.7091E+21  7.5471E-03  9.9245E-01  1.5588E+04  1.0870E-03  5.8689E-03  5.1053E-01  4.8360E-01
